,lic_num,period
1145,1069,1998-01-23
1146,1253,1998-01-23
1147,1719,1998-01-23
1148,1876,1998-01-23
1149,2163,1998-01-23
1150,2727,1998-01-23
1151,3060,1998-01-23
1152,3121,1998-01-23
1153,1213,1998-01-16
1154,1683,1998-01-16
1155,2072,1998-01-16
1156,3072,1998-01-10
1157,195,1998-01-09
1158,1628,1998-01-01
1159,1707,1998-01-01
1160,1723,1998-01-01
1161,260,1998-01-01
1162,2724,1998-01-01
1163,651,1997-12-30
1164,1103,1997-12-26
1165,1201,1997-12-26
1166,2702,1997-12-26
1167,953,1997-12-26
1168,2690,1997-12-19
1169,3012,1997-12-19
1170,544,1997-12-19
1171,62,1997-12-19
1172,778,1997-12-19
1173,1181,1997-12-16
1174,2713,1997-12-16
1175,3096,1997-12-16
1176,1351,1997-12-07
1177,2600,1997-12-07
1178,535,1997-12-07
1179,2667,1997-11-29
1180,3126,1997-11-29
1181,725,1997-11-29
1182,1884,1997-11-22
1183,2197,1997-11-22
1184,3024,1997-11-22
1185,858,1997-11-22
1186,1294,1997-11-15
1187,2251,1997-11-15
1188,2351,1997-11-15
1189,3125,1997-11-15
1190,473,1997-11-15
1191,822,1997-11-15
1192,2101,1997-11-10
1193,379,1997-11-10
1194,959,1997-11-10
1195,1272,1997-11-07
1196,1960,1997-11-07
1197,2599,1997-11-07
1198,2622,1997-11-07
1199,299,1997-11-07
1200,1656,1997-10-31
1201,2714,1997-10-31
1202,560,1997-10-31
1203,904,1997-10-31
1204,908,1997-10-31
1205,1135,1997-10-25
1206,1290,1997-10-25
1207,1473,1997-10-25
1208,1737,1997-10-25
1209,2817,1997-10-25
1210,2086,1997-10-22
1211,1089,1997-10-18
1212,1320,1997-10-18
1213,1931,1997-10-18
1214,1963,1997-10-18
1215,2218,1997-10-18
1216,2411,1997-10-18
1217,2427,1997-10-18
1218,726,1997-10-18
1219,1264,1997-09-27
1220,1665,1997-09-27
1221,2394,1997-09-27
1222,2512,1997-09-27
1223,2616,1997-09-27
1224,2619,1997-09-27
1225,2679,1997-09-27
1226,626,1997-09-27
1227,1245,1997-09-22
1228,1350,1997-09-22
1229,1878,1997-09-22
1230,2079,1997-09-22
1231,2278,1997-09-22
1232,2288,1997-09-22
1233,2315,1997-09-22
1234,3100,1997-09-22
1235,3226,1997-09-22
1236,3285,1997-09-22
1237,450,1997-09-22
1238,1539,1997-09-04
1239,2067,1997-09-04
1240,2262,1997-09-04
1241,2470,1997-09-04
1242,2595,1997-09-04
1243,2812,1997-09-04
1244,2415,1997-08-29
1245,2974,1997-08-29
1246,3008,1997-08-29
1247,838,1997-08-29
1248,866,1997-08-29
1249,1044,1997-08-25
1250,1518,1997-08-25
1251,1778,1997-08-25
1252,1919,1997-08-25
1253,255,1997-08-25
1254,2933,1997-08-25
1255,2994,1997-08-25
1256,767,1997-08-25
1257,846,1997-08-25
1258,876,1997-08-25
1259,1933,1997-08-08
1260,2290,1997-08-08
1261,2385,1997-08-08
1262,3189,1997-08-08
1263,3249,1997-08-08
1264,895,1997-08-08
1265,1020,1997-08-04
1266,1551,1997-08-04
1267,1789,1997-08-04
1268,2715,1997-08-04
1269,2762,1997-08-04
1270,338,1997-08-04
1271,615,1997-08-04
1272,1155,1997-07-25
1273,17,1997-07-25
1274,2759,1997-07-25
1275,401,1997-07-25
1276,1296,1997-07-23
1277,1400,1997-07-23
1278,2379,1997-07-23
1279,2488,1997-07-23
1280,2885,1997-07-23
1281,2910,1997-07-23
1282,2973,1997-07-23
1283,366,1997-07-23
1284,91,1997-07-23
1285,1944,1997-07-11
1286,1996,1997-07-11
1287,2001,1997-07-11
1288,2580,1997-07-11
1289,2915,1997-07-11
1290,692,1997-07-11
1291,1894,1997-07-10
1292,2752,1997-07-10
1293,3239,1997-07-10
1294,129,1997-07-02
1295,1840,1997-07-02
1296,2149,1997-07-02
1297,2230,1997-07-02
1298,2381,1997-07-02
1299,2660,1997-07-02
1300,2661,1997-07-02
1301,2824,1997-07-02
1302,2907,1997-07-02
1303,3031,1997-07-02
1304,593,1997-07-02
1305,691,1997-07-02
1306,807,1997-07-02
1307,1336,1997-06-28
1308,1850,1997-06-28
1309,2276,1997-06-28
1310,2421,1997-06-28
1311,2515,1997-06-28
1312,3078,1997-06-28
1313,418,1997-06-28
1314,706,1997-06-28
1315,935,1997-06-28
1316,1716,1997-06-27
1317,1101,1997-06-20
1318,1205,1997-06-20
1319,1914,1997-06-20
1320,2133,1997-06-20
1321,2213,1997-06-20
1322,2845,1997-06-20
1323,3228,1997-06-20
1324,536,1997-06-20
1325,707,1997-06-20
1326,1337,1997-06-18
1327,1476,1997-06-18
1328,1292,1997-06-02
1329,2261,1997-06-02
1330,2608,1997-06-02
1331,2062,1997-05-29
1332,1844,1997-05-28
1333,2094,1997-05-28
1334,2474,1997-05-28
1335,462,1997-05-28
1336,515,1997-05-28
1337,1749,1997-05-24
1338,2030,1997-05-24
1339,408,1997-05-24
1340,1817,1997-05-14
1341,1906,1997-05-14
1342,2201,1997-05-14
1343,3041,1997-05-14
1344,3160,1997-05-14
1345,465,1997-05-14
1346,892,1997-05-14
1347,1005,1997-05-12
1348,1187,1997-05-12
1349,1341,1997-05-12
1350,2815,1997-05-12
1351,584,1997-05-12
1352,1636,1997-05-09
1353,1964,1997-05-09
1354,2300,1997-05-09
1355,76,1997-05-09
1356,808,1997-05-09
1357,590,1997-05-07
1358,944,1997-05-07
1359,1152,1997-05-05
1360,1156,1997-05-05
1361,1804,1997-05-05
1362,2950,1997-05-05
1363,428,1997-05-05
1364,477,1997-05-05
1365,1267,1997-05-03
1366,1803,1997-05-03
1367,1832,1997-05-03
1368,2104,1997-05-03
1369,2282,1997-05-03
1370,253,1997-05-03
1371,2550,1997-05-03
1372,2751,1997-05-03
1373,463,1997-05-03
1374,475,1997-05-03
1375,549,1997-05-03
1376,688,1997-05-03
1377,697,1997-05-03
1378,947,1997-05-01
1379,676,1997-04-25
1380,1548,1997-04-22
1381,157,1997-04-22
1382,1718,1997-04-22
1383,1976,1997-04-22
1384,2008,1997-04-22
1385,2393,1997-04-22
1386,2687,1997-04-22
1387,283,1997-04-22
1388,311,1997-04-22
1389,3179,1997-04-22
1390,555,1997-04-22
1391,674,1997-04-22
1392,2894,1997-04-16
1393,1226,1997-04-15
1394,1519,1997-04-15
1395,1643,1997-04-15
1396,1798,1997-04-15
1397,19,1997-04-15
1398,2334,1997-04-15
1399,2510,1997-04-15
1400,2648,1997-04-15
1401,3023,1997-04-15
1402,341,1997-04-15
1403,487,1997-04-15
1404,591,1997-04-15
1405,668,1997-04-15
1406,770,1997-04-15
1407,907,1997-04-15
1408,595,1997-04-09
1409,1004,1997-03-29
1410,1024,1997-03-29
1411,1278,1997-03-29
1412,1348,1997-03-29
1413,1379,1997-03-29
1414,1380,1997-03-29
1415,1480,1997-03-29
1416,1589,1997-03-29
1417,1708,1997-03-29
1418,1746,1997-03-29
1419,1870,1997-03-29
1420,1887,1997-03-29
1421,2041,1997-03-29
1422,2052,1997-03-29
1423,2088,1997-03-29
1424,2106,1997-03-29
1425,2113,1997-03-29
1426,2169,1997-03-29
1427,2204,1997-03-29
1428,2237,1997-03-29
1429,2298,1997-03-29
1430,2363,1997-03-29
1431,2378,1997-03-29
1432,2540,1997-03-29
1433,2708,1997-03-29
1434,2760,1997-03-29
1435,2954,1997-03-29
1436,3035,1997-03-29
1437,3056,1997-03-29
1438,448,1997-03-29
1439,661,1997-03-29
1440,909,1997-03-29
1441,1986,1997-03-28
1442,1621,1997-03-18
1443,2332,1997-03-18
1444,1051,1997-03-13
1445,1217,1997-03-13
1446,1308,1997-03-13
1447,1321,1997-03-13
1448,1540,1997-03-13
1449,1672,1997-03-13
1450,1706,1997-03-13
1451,1722,1997-03-13
1452,1875,1997-03-13
1453,191,1997-03-13
1454,1923,1997-03-13
1455,2215,1997-03-13
1456,2233,1997-03-13
1457,2311,1997-03-13
1458,2348,1997-03-13
1459,2356,1997-03-13
1460,2592,1997-03-13
1461,2624,1997-03-13
1462,35,1997-03-13
1463,512,1997-03-13
1464,63,1997-03-13
1465,757,1997-03-13
1466,849,1997-03-13
1467,1298,1997-03-06
1468,1438,1997-03-06
1469,1690,1997-03-06
1470,1774,1997-03-06
1471,2061,1997-03-06
1472,2080,1997-03-06
1473,2533,1997-03-06
1474,2988,1997-03-06
1475,89,1997-03-06
1476,1808,1997-02-22
1477,2522,1997-02-22
1478,2532,1997-02-22
1479,727,1997-02-22
1480,1146,1997-02-15
1481,3091,1997-02-07
1482,1193,1997-02-04
1483,1842,1997-02-04
1484,2265,1997-01-29
1485,290,1997-01-28
1486,36,1997-01-28
1487,11,1997-01-08
1488,2064,1997-01-08
1489,2318,1997-01-08
1490,2340,1997-01-08
1491,2544,1997-01-08
1492,2924,1997-01-08
1493,516,1997-01-08
1494,73,1997-01-08
1495,911,1997-01-08
1496,1212,1996-12-30
1497,1159,1996-12-17
1498,1119,1996-12-15
1499,1347,1996-12-15
1500,1372,1996-12-15
1501,15,1996-12-15
1502,1822,1996-12-15
1503,2509,1996-12-15
1504,3199,1996-12-15
1505,834,1996-12-15
1506,1603,1996-11-21
1507,1901,1996-11-21
1508,722,1996-11-21
1509,1235,1996-11-19
1510,1425,1996-11-19
1511,2105,1996-11-19
1512,2180,1996-11-19
1513,2281,1996-11-19
1514,2691,1996-11-19
1515,3151,1996-11-19
1516,40,1996-11-19
1517,426,1996-11-19
1518,672,1996-11-19
1519,1568,1996-11-10
1520,1965,1996-11-10
1521,2918,1996-11-04
1522,673,1996-11-03
1523,1102,1996-10-19
1524,2212,1996-10-19
1525,3131,1996-10-19
1526,117,1996-10-16
1527,1211,1996-10-16
1528,1903,1996-10-16
1529,2182,1996-10-16
1530,2240,1996-10-16
1531,243,1996-10-16
1532,2656,1996-10-16
1533,2693,1996-10-16
1534,2855,1996-10-16
1535,3222,1996-10-16
1536,3244,1996-10-16
1537,582,1996-10-16
1538,853,1996-10-16
1539,2362,1996-10-14
1540,14,1996-10-11
1541,1453,1996-10-08
1542,1861,1996-10-08
1543,2753,1996-10-08
1544,2821,1996-10-08
1545,1442,1996-10-07
1546,1585,1996-10-07
1547,1761,1996-10-07
1548,2010,1996-10-07
1549,2068,1996-10-07
1550,2076,1996-10-07
1551,2744,1996-10-07
1552,491,1996-09-27
1553,522,1996-09-27
1554,1883,1996-09-24
1555,2610,1996-09-24
1556,731,1996-09-24
1557,1233,1996-09-19
1558,2140,1996-09-19
1559,2153,1996-09-19
1560,2498,1996-09-19
1561,2578,1996-09-19
1562,984,1996-09-19
1563,1230,1996-09-12
1564,1238,1996-09-12
1565,1285,1996-09-12
1566,1310,1996-09-12
1567,2066,1996-09-12
1568,2185,1996-09-12
1569,2236,1996-09-12
1570,2243,1996-09-12
1571,2420,1996-09-12
1572,2442,1996-09-12
1573,2452,1996-09-12
1574,2773,1996-09-12
1575,504,1996-09-12
1576,572,1996-09-12
1577,1552,1996-09-02
1578,1897,1996-09-02
1579,3088,1996-09-02
1580,1611,1996-09-01
1581,2369,1996-09-01
1582,363,1996-09-01
1583,72,1996-09-01
1584,1880,1996-08-26
1585,1937,1996-08-23
1586,1086,1996-08-22
1587,1268,1996-08-17
1588,1039,1996-08-14
1589,1289,1996-08-14
1590,1698,1996-08-14
1591,1715,1996-08-14
1592,1733,1996-08-14
1593,1820,1996-08-14
1594,1983,1996-08-14
1595,2025,1996-08-14
1596,2069,1996-08-14
1597,2181,1996-08-14
1598,2387,1996-08-14
1599,2457,1996-08-14
1600,2631,1996-08-14
1601,2754,1996-08-14
1602,2935,1996-08-14
1603,3022,1996-08-14
1604,643,1996-08-14
1605,93,1996-08-14
1606,1995,1996-08-05
1607,2256,1996-08-05
1608,2310,1996-08-05
1609,2327,1996-08-05
1610,2331,1996-08-05
1611,2441,1996-08-05
1612,2577,1996-08-05
1613,2683,1996-08-05
1614,2774,1996-08-05
1615,46,1996-08-05
1616,2745,1996-08-04
1617,913,1996-07-26
1618,1174,1996-07-23
1619,2134,1996-07-23
1620,239,1996-07-23
1621,2694,1996-07-23
1622,321,1996-07-23
1623,332,1996-07-23
1624,422,1996-07-23
1625,905,1996-07-23
1626,1550,1996-06-25
1627,2259,1996-06-25
1628,3034,1996-06-25
1629,1008,1996-06-13
1630,1390,1996-06-13
1631,147,1996-06-13
1632,1537,1996-06-13
1633,1549,1996-06-13
1634,1566,1996-06-13
1635,1674,1996-06-13
1636,1739,1996-06-13
1637,1740,1996-06-13
1638,2004,1996-06-13
1639,2097,1996-06-13
1640,2224,1996-06-13
1641,2341,1996-06-13
1642,3178,1996-06-13
1643,42,1996-06-13
1644,433,1996-06-13
1645,627,1996-06-13
1646,1287,1996-06-09
1647,1437,1996-06-09
1648,2112,1996-06-09
1649,2183,1996-06-09
1650,2461,1996-06-09
1651,2850,1996-06-09
1652,3102,1996-06-09
1653,879,1996-06-09
1654,1316,1996-06-05
1655,1538,1996-06-05
1656,1695,1996-06-05
1657,1959,1996-06-05
1658,202,1996-06-05
1659,2164,1996-06-05
1660,2194,1996-06-05
1661,225,1996-06-05
1662,2431,1996-06-05
1663,2492,1996-06-05
1664,2528,1996-06-05
1665,26,1996-06-05
1666,326,1996-06-05
1667,981,1996-06-05
1668,1022,1996-05-25
1669,1034,1996-05-25
1670,1167,1996-05-25
1671,1318,1996-05-25
1672,1456,1996-05-25
1673,1801,1996-05-25
1674,2089,1996-05-25
1675,2150,1996-05-25
1676,227,1996-05-25
1677,2666,1996-05-25
1678,3014,1996-05-25
1679,378,1996-05-25
1680,403,1996-05-25
1681,458,1996-05-25
1682,464,1996-05-25
1683,48,1996-05-25
1684,509,1996-05-25
1685,523,1996-05-25
1686,787,1996-05-25
1687,919,1996-05-25
1688,1122,1996-05-24
1689,1711,1996-05-24
1690,1864,1996-05-24
1691,187,1996-05-24
1692,201,1996-05-24
1693,2439,1996-05-24
1694,294,1996-05-24
1695,56,1996-05-24
1696,86,1996-05-24
1697,920,1996-05-24
1698,1183,1996-05-16
1699,1275,1996-05-16
1700,146,1996-05-16
1701,1482,1996-05-16
1702,1990,1996-05-16
1703,2013,1996-05-16
1704,2175,1996-05-16
1705,2294,1996-05-16
1706,2927,1996-05-16
1707,2970,1996-05-16
1708,376,1996-05-16
1709,398,1996-05-16
1710,839,1996-05-16
1711,1517,1996-05-14
1712,2033,1996-05-14
1713,2120,1996-05-14
1714,2247,1996-05-14
1715,2343,1996-05-14
1716,2396,1996-05-14
1717,2449,1996-05-14
1718,2450,1996-05-14
1719,265,1996-05-14
1720,2811,1996-05-14
1721,337,1996-05-14
1722,525,1996-05-14
1723,1182,1996-05-13
1724,1265,1996-05-13
1725,1394,1996-05-13
1726,1588,1996-05-13
1727,1709,1996-05-13
1728,1771,1996-05-13
1729,1846,1996-05-13
1730,1881,1996-05-13
1731,2026,1996-05-13
1732,2669,1996-05-13
1733,2911,1996-05-13
1734,295,1996-05-13
1735,349,1996-05-13
1736,350,1996-05-13
1737,721,1996-05-13
1738,824,1996-05-13
1739,979,1996-05-13
1740,242,1996-05-12
1741,364,1996-05-12
1742,1682,1996-05-11
1743,1780,1996-05-11
1744,1879,1996-05-11
1745,2458,1996-05-11
1746,2513,1996-05-11
1747,1410,1996-05-09
1748,2042,1996-05-09
1749,2349,1996-05-09
1750,2430,1996-05-09
1751,2454,1996-05-09
1752,449,1996-05-09
1753,495,1996-05-09
1754,636,1996-05-09
1755,2634,1996-05-02
1756,553,1996-04-15
1757,1406,1996-04-01
1758,190,1996-04-01
1759,2046,1996-04-01
1760,2283,1996-04-01
1761,2804,1996-04-01
1762,66,1996-03-25
1763,1830,1996-03-19
1764,1905,1996-03-19
1765,811,1996-03-19
1766,2370,1996-03-14
1767,2487,1996-03-14
1768,816,1996-03-13
1769,1145,1996-03-09
1770,1669,1996-03-09
1771,1691,1996-03-09
1772,2536,1996-03-09
1773,3025,1996-03-09
1774,581,1996-03-09
1775,648,1996-03-09
1776,1587,1996-02-27
1777,1908,1996-02-27
1778,1106,1996-02-13
1779,1440,1996-02-13
1780,1644,1996-02-13
1781,1759,1996-02-13
1782,280,1996-02-13
1783,79,1996-02-13
1784,1479,1996-02-02
1785,179,1996-02-02
1786,1297,1996-01-18
1787,1054,1996-01-15
1788,2736,1995-12-28
1789,788,1995-12-28
1790,977,1995-12-28
1791,1554,1995-12-14
1792,1095,1995-12-10
1793,1128,1995-12-09
1794,143,1995-12-09
1795,1305,1995-11-28
1796,1583,1995-11-28
1797,160,1995-11-28
1798,1670,1995-11-28
1799,2124,1995-11-28
1800,240,1995-11-28
1801,2479,1995-11-28
1802,2740,1995-11-28
1803,367,1995-11-28
1804,82,1995-11-28
1805,1757,1995-11-15
1806,1856,1995-11-15
1807,1936,1995-11-15
1808,2018,1995-11-15
1809,2151,1995-11-15
1810,2200,1995-11-15
1811,2203,1995-11-15
1812,2205,1995-11-15
1813,2680,1995-11-15
1814,2852,1995-11-15
1815,508,1995-11-15
1816,861,1995-11-15
1817,1779,1995-11-04
1818,1858,1995-10-31
1819,2091,1995-10-31
1820,2257,1995-10-31
1821,2319,1995-10-31
1822,2424,1995-10-31
1823,2473,1995-10-31
1824,2588,1995-10-31
1825,2735,1995-10-31
1826,633,1995-10-31
1827,1420,1995-10-24
1828,1427,1995-10-24
1829,2366,1995-10-24
1830,2437,1995-10-24
1831,51,1995-10-24
1832,1108,1995-09-27
1833,2127,1995-09-27
1834,2132,1995-09-27
1835,2345,1995-09-27
1836,276,1995-09-27
1837,100,1995-09-26
1838,1331,1995-09-26
1839,1787,1995-09-26
1840,1814,1995-09-26
1841,1984,1995-09-26
1842,2130,1995-09-26
1843,1597,1995-09-25
1844,1795,1995-09-25
1845,1823,1995-09-25
1846,1862,1995-09-25
1847,1918,1995-09-25
1848,1938,1995-09-25
1849,2006,1995-09-25
1850,2007,1995-09-25
1851,2038,1995-09-25
1852,2084,1995-09-25
1853,2131,1995-09-25
1854,2326,1995-09-25
1855,2834,1995-09-25
1856,3127,1995-09-25
1857,683,1995-09-25
1858,164,1995-09-12
1859,1838,1995-09-12
1860,2344,1995-09-12
1861,278,1995-09-12
1862,287,1995-09-12
1863,371,1995-09-12
1864,820,1995-09-12
1865,92,1995-09-12
1866,2160,1995-09-11
1867,891,1995-08-22
1868,1692,1995-08-12
1869,2137,1995-08-12
1870,2333,1995-08-12
1871,2818,1995-08-12
1872,134,1995-07-21
1873,1600,1995-07-21
1874,1828,1995-07-21
1875,1874,1995-07-21
1876,2031,1995-07-21
1877,2044,1995-07-21
1878,2109,1995-07-21
1879,2146,1995-07-21
1880,2297,1995-07-21
1881,2583,1995-07-21
1882,718,1995-07-21
1883,772,1995-07-21
1884,2628,1995-07-18
1885,308,1995-07-18
1886,1409,1995-07-09
1887,1536,1995-07-09
1888,205,1995-07-09
1889,2121,1995-07-09
1890,482,1995-07-09
1891,1613,1995-07-04
1892,271,1995-07-04
1893,74,1995-07-04
1894,1641,1995-06-23
1895,2695,1995-06-23
1896,165,1995-06-16
1897,1767,1995-06-16
1898,1841,1995-06-16
1899,1916,1995-06-16
1900,2191,1995-06-16
1901,716,1995-06-16
1902,1091,1995-05-23
1903,1913,1995-04-24
1904,484,1995-04-24
1905,823,1995-04-24
1906,855,1995-04-24
1907,1112,1995-04-11
1908,1419,1995-04-11
1909,1515,1995-04-11
1910,1570,1995-04-11
1911,1572,1995-04-11
1912,1596,1995-04-11
1913,1612,1995-04-11
1914,1729,1995-04-11
1915,1770,1995-04-11
1916,1849,1995-04-11
1917,1865,1995-04-11
1918,1866,1995-04-11
1919,1882,1995-04-11
1920,1929,1995-04-11
1921,1935,1995-04-11
1922,2135,1995-04-11
1923,2161,1995-04-11
1924,223,1995-04-11
1925,2305,1995-04-11
1926,2320,1995-04-11
1927,2481,1995-04-11
1928,2681,1995-04-11
1929,2953,1995-04-11
1930,315,1995-04-11
1931,345,1995-04-11
1932,388,1995-04-11
1933,43,1995-04-11
1934,442,1995-04-11
1935,640,1995-04-11
1936,737,1995-04-11
1937,87,1995-04-11
1938,1344,1995-04-08
1939,192,1995-04-08
1940,753,1995-04-08
1941,960,1995-04-08
1942,1773,1995-03-24
1943,1800,1995-03-24
1944,1802,1995-03-24
1945,1853,1995-03-24
1946,1998,1995-03-24
1947,2017,1995-03-24
1948,213,1995-03-24
1949,2190,1995-03-24
1950,2465,1995-03-24
1951,293,1995-03-24
1952,645,1995-03-24
1953,97,1995-03-24
1954,1811,1995-03-11
1955,1831,1995-03-11
1956,1852,1995-03-11
1957,1969,1995-03-11
1958,1981,1995-03-11
1959,2002,1995-03-11
1960,2043,1995-03-11
1961,2054,1995-03-11
1962,2095,1995-03-11
1963,2143,1995-03-11
1964,2144,1995-03-11
1965,2165,1995-03-11
1966,2171,1995-03-11
1967,2193,1995-03-11
1968,2221,1995-03-11
1969,2263,1995-03-11
1970,2375,1995-03-11
1971,2383,1995-03-11
1972,258,1995-03-11
1973,2778,1995-03-11
1974,2889,1995-03-11
1975,29,1995-03-11
1976,2920,1995-03-11
1977,3020,1995-03-11
1978,471,1995-03-11
1979,694,1995-03-11
1980,1477,1995-02-23
1981,1784,1995-02-23
1982,1454,1995-02-17
1983,1622,1995-02-17
1984,1712,1995-02-17
1985,1721,1995-02-17
1986,1762,1995-02-17
1987,1786,1995-02-17
1988,1826,1995-02-17
1989,1899,1995-02-17
1990,1941,1995-02-17
1991,1962,1995-02-17
1992,1999,1995-02-17
1993,2014,1995-02-17
1994,2020,1995-02-17
1995,2129,1995-02-17
1996,2184,1995-02-17
1997,2199,1995-02-17
1998,2303,1995-02-17
1999,2325,1995-02-17
2000,2339,1995-02-17
2001,2408,1995-02-17
2002,2426,1995-02-17
2003,2451,1995-02-17
2004,2460,1995-02-17
2005,2482,1995-02-17
2006,2531,1995-02-17
2007,2871,1995-02-17
2008,348,1995-02-17
2009,78,1995-02-17
2010,1227,1995-02-16
2011,1279,1995-02-16
2012,1843,1995-02-16
2013,1925,1995-02-16
2014,1932,1995-02-16
2015,1979,1995-02-16
2016,2286,1995-02-16
2017,2463,1995-02-16
2018,2671,1995-02-16
2019,34,1995-02-16
2020,49,1995-02-16
2021,494,1995-02-16
2022,1304,1995-02-06
2023,1434,1995-02-06
2024,1872,1995-02-06
2025,2116,1995-02-06
2026,2214,1995-02-06
2027,2321,1995-02-06
2028,2945,1995-02-06
2029,1228,1995-01-23
2030,1815,1995-01-16
2031,1426,1994-12-13
2032,1433,1994-12-13
2033,1760,1994-12-13
2034,1805,1994-12-13
2035,1980,1994-12-13
2036,1993,1994-12-13
2037,2021,1994-12-13
2038,2125,1994-12-13
2039,2138,1994-12-13
2040,2287,1994-12-13
2041,2335,1994-12-13
2042,2380,1994-12-13
2043,37,1994-12-13
2044,856,1994-12-10
2045,1048,1994-11-28
2046,1345,1994-11-28
2047,1602,1994-11-28
2048,1681,1994-11-28
2049,1702,1994-11-28
2050,1768,1994-11-28
2051,2172,1994-11-28
2052,2219,1994-11-28
2053,2279,1994-11-28
2054,39,1994-10-15
2055,1237,1994-10-14
2056,498,1994-10-14
2057,1685,1994-10-10
2058,140,1994-09-28
2059,1797,1994-09-28
2060,2448,1994-09-28
2061,2009,1994-09-26
2062,2087,1994-09-26
2063,2173,1994-09-26
2064,786,1994-09-26
2065,837,1994-09-26
2066,869,1994-09-26
2067,1216,1994-09-12
2068,746,1994-09-12
2069,806,1994-09-12
2070,1877,1994-08-23
2071,1111,1994-08-16
2072,1474,1994-08-16
2073,1997,1994-08-16
2074,2226,1994-08-16
2075,2250,1994-08-16
2076,2376,1994-08-16
2077,245,1994-08-16
2078,1750,1994-07-10
2079,1791,1994-07-10
2080,2081,1994-07-10
2081,380,1994-07-10
2082,751,1994-07-10
2083,529,1994-06-27
2084,629,1994-06-27
2085,1397,1994-06-24
2086,1452,1994-06-24
2087,2128,1994-06-23
2088,1047,1994-06-21
2089,1412,1994-06-14
2090,2005,1994-06-14
2091,578,1994-06-13
2092,1029,1994-06-09
2093,2107,1994-06-09
2094,1207,1994-06-06
2095,1912,1994-06-06
2096,1064,1994-06-05
2097,519,1994-06-05
2098,630,1994-06-05
2099,829,1994-06-05
2100,1615,1994-06-04
2101,1424,1994-05-27
2102,1700,1994-05-27
2103,2114,1994-05-27
2104,2231,1994-05-27
2105,318,1994-05-27
2106,1845,1994-05-17
2107,1236,1994-05-16
2108,1888,1994-05-16
2109,2238,1994-05-16
2110,638,1994-05-16
2111,1907,1994-05-03
2112,33,1994-05-03
2113,610,1994-05-03
2114,2024,1994-04-25
2115,620,1994-04-25
2116,1178,1994-04-13
2117,251,1994-04-13
2118,747,1994-04-13
2119,881,1994-04-13
2120,1031,1994-04-04
2121,1079,1994-04-04
2122,1327,1994-04-01
2123,2202,1994-04-01
2124,1133,1994-03-21
2125,2195,1994-03-21
2126,592,1994-03-21
2127,1038,1994-02-15
2128,1269,1994-02-15
2129,479,1994-02-12
2130,502,1994-02-08
2131,791,1994-02-06
2132,982,1994-02-06
2133,1219,1994-01-31
2134,1082,1994-01-13
2135,1241,1994-01-13
2136,1475,1994-01-13
2137,2060,1994-01-13
2138,587,1994-01-13
2139,2117,1994-01-07
2140,95,1994-01-07
2141,1012,1993-12-24
2142,1013,1993-12-24
2143,1014,1993-12-24
2144,1169,1993-12-24
2145,2122,1993-12-24
2146,632,1993-12-24
2147,759,1993-12-24
2148,809,1993-12-24
2149,924,1993-12-24
2150,940,1993-12-24
2151,946,1993-12-24
2152,949,1993-12-02
2153,1072,1993-12-01
2154,1142,1993-12-01
2155,1168,1993-12-01
2156,1173,1993-12-01
2157,1185,1993-12-01
2158,1224,1993-12-01
2159,1240,1993-12-01
2160,1260,1993-12-01
2161,1274,1993-12-01
2162,1313,1993-12-01
2163,1330,1993-12-01
2164,1346,1993-12-01
2165,1391,1993-12-01
2166,730,1993-12-01
2167,796,1993-12-01
2168,835,1993-12-01
2169,1660,1993-11-24
2170,1081,1993-11-18
2171,1126,1993-11-18
2172,1258,1993-11-18
2173,1333,1993-11-18
2174,1369,1993-11-18
2175,571,1993-11-18
2176,962,1993-11-18
2177,1204,1993-11-16
2178,775,1993-11-16
2179,1565,1993-11-06
2180,771,1993-10-28
2181,915,1993-10-28
2182,756,1993-10-15
2183,882,1993-10-15
2184,1766,1993-10-13
2185,68,1993-09-29
2186,1547,1993-09-22
2187,631,1993-09-22
2188,1080,1993-09-20
2189,1772,1993-09-20
2190,780,1993-09-20
2191,1783,1993-09-12
2192,647,1993-09-12
2193,852,1993-09-12
2194,310,1993-09-04
2195,945,1993-08-31
2196,1662,1993-08-26
2197,1040,1993-08-17
2198,1083,1993-08-17
2199,1116,1993-08-17
2200,1147,1993-08-17
2201,1148,1993-08-17
2202,1356,1993-08-17
2203,564,1993-08-17
2204,583,1993-08-17
2205,611,1993-08-17
2206,612,1993-08-17
2207,976,1993-08-17
2208,1609,1993-08-16
2209,641,1993-08-16
2210,657,1993-08-16
2211,821,1993-08-16
2212,2049,1993-08-12
2213,642,1993-08-12
2214,656,1993-08-12
2215,818,1993-08-12
2216,831,1993-08-12
2217,1190,1993-08-07
2218,137,1993-08-07
2219,1377,1993-08-07
2220,1186,1993-07-27
2221,1259,1993-07-27
2222,1263,1993-07-27
2223,1395,1993-07-27
2224,621,1993-07-27
2225,950,1993-07-27
2226,1355,1993-07-21
2227,2019,1993-07-21
2228,2111,1993-07-21
2229,1900,1993-07-12
2230,1017,1993-07-06
2231,1058,1993-07-06
2232,1192,1993-07-06
2233,602,1993-07-06
2234,898,1993-07-06
2235,1836,1993-06-20
2236,1408,1993-06-16
2237,1839,1993-06-12
2238,83,1993-06-12
2239,1009,1993-06-07
2240,1036,1993-06-07
2241,1873,1993-06-07
2242,1940,1993-06-07
2243,686,1993-06-07
2244,906,1993-06-07
