,lic_num,period
246,634,2012-04-13
247,3455,2012-03-09
248,589,2012-02-28
249,3106,2012-02-11
250,3325-Ð,2012-02-11
251,2188,2012-02-05
252,3087,2012-01-23
253,531,2012-01-23
254,3498,2011-12-27
255,3334,2011-12-21
256,514,2011-12-21
257,2360,2011-11-28
258,2787,2011-11-28
259,1407,2011-11-24
260,1627,2011-11-22
261,2447,2011-11-15
262,3033,2011-11-11
263,2274,2011-10-14
264,2235,2011-10-03
265,2746,2011-09-30
266,3411,2011-08-26
267,459,2011-08-15
268,2975,2011-07-22
269,2820,2011-07-21
270,2174,2011-07-14
271,2793,2011-07-14
272,3042,2011-07-07
273,3458-Ä,2011-07-07
274,2295,2011-06-29
275,2627,2011-06-21
276,2083,2011-06-17
277,2797,2011-06-15
278,233,2011-06-04
279,3313-Ê,2011-05-12
280,1851,2011-05-09
281,1203,2011-05-05
282,1827,2011-04-18
283,3405,2011-04-18
284,1342,2011-04-14
285,2809,2011-03-24
286,439,2011-03-23
287,3090,2011-03-10
288,1340,2011-02-17
289,3488,2011-02-17
290,2614,2011-02-09
291,3356,2011-01-18
292,2384,2011-01-14
293,1202-Ê,2011-01-11
294,1300,2011-01-11
295,3391,2010-12-29
296,2747,2010-12-21
297,2984,2010-12-21
298,3119,2010-12-20
299,419,2010-12-20
300,2535,2010-12-14
301,2676-Ê,2010-12-14
302,3372,2010-12-14
303,2917,2010-11-24
304,922,2010-11-24
305,1667,2010-11-05
306,457,2010-11-05
307,2560,2010-11-02
308,888,2010-11-02
309,3444,2010-11-01
310,2051,2010-10-21
311,3282,2010-10-21
312,828,2010-10-19
313,1303,2010-09-30
314,1676,2010-09-30
315,3272,2010-09-30
316,3201,2010-08-13
317,2397,2010-08-07
318,1076,2010-07-05
319,1194,2010-07-05
320,2545,2010-07-05
321,1764,2010-06-17
322,2056,2010-05-10
323,701,2010-05-05
324,803,2010-05-05
325,926,2010-05-05
326,2126,2010-05-02
327,2925,2010-04-03
328,2422,2010-04-02
329,2926,2010-04-02
330,1065,2010-03-12
331,383,2010-03-12
332,1857,2010-02-26
333,2653,2010-02-18
334,3284,2010-02-08
335,1214,2010-01-20
336,2466,2010-01-11
337,1705,2010-01-10
338,2455,2010-01-10
339,2901,2010-01-10
340,729,2010-01-10
341,307,2009-12-29
342,2220,2009-12-24
343,1338,2009-12-23
344,1339,2009-12-23
345,2003,2009-12-23
346,414,2009-12-23
347,2365,2009-12-17
348,2582,2009-12-11
349,2409,2009-11-27
350,2788,2009-11-19
351,98,2009-11-19
352,2565,2009-10-29
353,3302,2009-10-29
354,199,2009-10-22
355,1904,2009-10-12
356,658,2009-10-07
357,3478,2009-10-02
358,667,2009-10-02
359,776,2009-10-02
360,652,2009-09-24
361,2346,2009-09-15
362,2980,2009-09-10
363,3445,2009-09-10
364,99,2009-09-06
365,2874,2009-08-27
366,3276,2009-08-24
367,2750,2009-08-20
368,3167,2009-07-30
369,2967,2009-07-05
370,3063,2009-06-25
371,3156,2009-06-25
372,899,2009-06-25
373,2931,2009-06-18
374,2361,2009-06-08
375,2946,2009-05-21
376,3469,2009-05-21
377,3039,2009-05-10
378,1731,2009-05-03
379,2478,2009-05-03
380,2336,2009-04-23
381,3227,2009-04-23
382,3069,2009-04-16
383,346,2009-04-16
384,1422,2009-03-30
385,3442,2009-03-30
386,2553,2009-03-19
387,3055,2009-03-19
388,2844,2009-03-09
389,3280,2009-03-09
390,1428,2009-02-19
391,2223,2009-02-19
392,2685,2009-02-19
393,2371,2009-02-07
394,3432,2009-02-07
395,2475,2009-02-02
396,3044,2009-02-02
397,118,2009-01-27
398,844,2009-01-19
399,119,2008-12-30
400,2625,2008-12-26
401,3211,2008-12-26
402,488,2008-12-26
403,1813,2008-12-19
404,2039,2008-12-19
405,2720,2008-12-19
406,116,2008-12-11
407,2765,2008-12-11
408,3361,2008-12-11
409,2058,2008-12-05
410,1218,2008-11-27
411,3215,2008-11-27
412,1271,2008-11-20
413,1915,2008-11-20
414,1605,2008-11-14
415,3374,2008-11-01
416,2686,2008-10-23
417,2848,2008-10-16
418,2839,2008-10-10
419,3,2008-08-27
420,2783,2008-07-11
421,1668,2008-07-08
422,3409,2008-06-25
423,1992,2008-06-16
424,1221,2008-06-03
425,241,2008-06-03
426,1569,2008-05-22
427,2891,2008-05-22
428,3348,2008-05-06
429,1125,2008-04-15
430,122,2008-04-15
431,562,2008-04-15
432,2419,2008-04-12
433,3212,2008-04-12
434,2373,2008-03-13
435,2908,2008-03-07
436,3394,2008-03-07
437,3369,2008-01-30
438,1793,2008-01-29
439,2893,2008-01-17
440,3208,2007-12-20
441,3321,2007-12-20
442,1610,2007-11-27
443,224,2007-11-27
444,3448,2007-11-27
445,2291,2007-11-23
446,2464,2007-11-20
447,1859,2007-11-19
448,1514,2007-11-15
449,2118,2007-11-15
450,3410,2007-11-05
451,603,2007-11-05
452,750,2007-11-05
453,1435,2007-10-26
454,2579,2007-10-26
455,3108,2007-10-26
456,2082,2007-10-18
457,3464,2007-10-18
458,2906,2007-10-07
459,3046,2007-09-27
460,3182,2007-09-27
461,740,2007-09-27
462,2514,2007-09-20
463,2358,2007-09-13
464,2870,2007-09-11
465,1113,2007-09-08
466,269,2007-09-08
467,3141,2007-09-08
468,441,2007-09-08
469,573,2007-09-08
470,3129,2007-09-03
471,2612,2007-08-30
472,3029,2007-08-30
473,1141,2007-08-16
474,1200,2007-08-16
475,2955,2007-08-16
476,943,2007-07-26
477,1782,2007-06-21
478,2317,2007-06-21
479,3218,2007-06-06
480,741,2007-06-06
481,2501,2007-06-04
482,734,2007-06-04
483,3248,2007-05-24
484,1056,2007-05-18
485,2833,2007-05-18
486,3259,2007-05-09
487,3210,2007-04-26
488,3225,2007-04-26
489,1687,2007-03-29
490,2770,2007-03-29
491,3305,2007-03-23
492,3281,2007-03-19
493,3406,2007-03-19
494,3150,2007-03-05
495,2563,2007-01-25
496,3453,2007-01-25
497,1824,2007-01-18
498,3382,2007-01-18
499,576,2007-01-18
500,2392,2007-01-11
501,3392,2007-01-02
502,2575,2006-12-27
503,2717,2006-12-27
504,1522,2006-12-22
505,2359,2006-12-21
506,3086,2006-12-21
507,3191,2006-12-21
508,3429,2006-12-21
509,3462,2006-12-14
510,3146,2006-12-10
511,1170,2006-11-05
512,209,2006-10-08
513,2102,2006-10-08
514,2823,2006-09-28
515,3021,2006-09-28
516,2701,2006-09-21
517,3347,2006-09-21
518,2841,2006-09-02
519,3169,2006-08-31
520,3362,2006-08-31
521,2489,2006-08-24
522,2525,2006-08-24
523,2991,2006-08-24
524,2222,2006-08-09
525,3363,2006-07-27
526,2792,2006-07-14
527,470,2006-07-14
528,1890,2006-07-06
529,3148,2006-07-06
530,2266,2006-06-28
531,3376,2006-06-28
532,3355,2006-06-23
533,3412,2006-06-23
534,1421,2006-06-16
535,2872,2006-06-16
536,2940,2006-06-16
537,392,2006-06-07
538,3093,2006-06-03
539,1567,2006-05-12
540,235,2006-05-12
541,2092,2006-05-10
542,1041,2006-05-09
543,1693,2006-05-08
544,624,2006-05-08
545,2367,2006-05-04
546,2840,2006-05-04
547,2552,2006-04-28
548,3230,2006-04-27
549,2934,2006-04-21
550,3076,2006-04-21
551,3133,2006-04-21
552,1423,2006-04-05
553,3438,2006-03-30
554,795,2006-03-30
555,1436,2006-03-23
556,2976,2006-03-23
557,3158,2006-03-23
558,1952,2006-03-11
559,2154,2006-03-11
560,971,2006-02-27
561,689,2006-02-16
562,3426,2006-02-02
563,1847,2006-01-26
564,2887,2006-01-26
565,938,2006-01-24
566,2800,2006-01-18
567,3101,2006-01-18
568,2399,2006-01-13
569,978,2006-01-13
570,1234,2006-01-09
571,2640,2006-01-06
572,579,2005-12-29
573,2959,2005-12-01
574,2912,2005-11-14
575,2977,2005-11-14
576,1138,2005-11-03
577,2899,2005-11-03
578,1255,2005-10-27
579,2585,2005-10-08
580,3243,2005-10-06
581,1625,2005-10-02
582,2057,2005-10-02
583,2814,2005-10-02
584,1898,2005-09-20
585,2784,2005-09-20
586,30,2005-09-20
587,409,2005-09-20
588,2075,2005-09-15
589,3032,2005-09-15
590,2641,2005-09-14
591,2723,2005-09-06
592,1947,2005-08-25
593,3103,2005-08-25
594,2730,2005-08-18
595,2651,2005-08-12
596,3074,2005-08-09
597,3196,2005-08-09
598,2096,2005-08-07
599,3258,2005-08-07
600,1696,2005-07-21
601,2047,2005-07-15
602,2826,2005-06-17
603,2016,2005-06-12
604,2947,2005-06-10
605,2601,2005-06-05
606,2159,2005-05-20
607,3059,2005-05-14
608,2962,2005-05-13
609,2963,2005-05-13
610,1758,2005-05-12
611,3075,2005-05-12
612,3428,2005-04-22
613,1921,2005-04-08
614,3157,2005-04-08
615,3327,2005-04-08
616,168,2005-03-29
617,1855,2005-03-18
618,3301,2005-02-22
619,698,2005-02-22
620,1934,2005-01-27
621,3162,2005-01-19
622,94,2005-01-09
623,2139,2005-01-07
624,3389,2005-01-07
625,1892,2004-12-30
626,666,2004-12-22
627,928,2004-12-16
628,1483,2004-11-24
629,3253,2004-11-24
630,3425,2004-11-24
631,2162,2004-11-11
632,3107,2004-11-08
633,1334,2004-10-27
634,2293,2004-10-27
635,2508,2004-10-27
636,3358,2004-09-29
637,2864,2004-09-15
638,3336,2004-09-14
639,3051,2004-09-09
640,1728,2004-09-02
641,2930,2004-08-13
642,2505,2004-08-12
643,3297,2004-08-12
644,2206,2004-07-29
645,2847,2004-07-29
646,3092,2004-07-29
647,3220,2004-07-29
648,505,2004-07-19
649,1834,2004-07-10
650,2993,2004-06-24
651,1523,2004-06-09
652,1018,2004-05-29
653,3414,2004-05-28
654,1601,2004-05-13
655,2958,2004-05-08
656,2832,2004-04-28
657,887,2004-04-28
658,2246,2004-03-25
659,1315,2004-01-21
660,2709,2004-01-12
661,3331,2004-01-12
662,3246,2003-12-31
663,3268,2003-12-18
664,3219,2003-11-28
665,2570,2003-11-26
666,1713,2003-09-23
667,434,2003-09-23
668,2561,2003-09-22
669,3110,2003-09-22
670,3366,2003-09-22
671,3299,2003-09-16
672,2878,2003-08-20
673,2314,2003-07-28
674,1513,2003-06-17
675,2284,2003-04-30
676,1703,2003-04-18
677,1863,2003-04-18
678,3165,2003-04-16
679,2497,2003-03-12
680,1590,2003-03-09
681,1994,2003-03-07
682,3007,2003-01-30
683,61,2003-01-17
684,3097,2002-12-31
685,389,2002-12-31
686,234,2002-12-19
687,69,2002-12-19
688,3387,2002-11-12
689,2446,2002-10-10
690,373,2002-10-10
691,1520,2002-09-20
692,313,2002-09-20
693,599,2002-09-17
694,3352,2002-08-28
695,219,2002-08-21
696,2242,2002-08-21
697,3005,2002-08-14
698,2521,2002-06-27
699,1658,2002-06-20
700,3118,2002-05-29
701,1328,2002-05-13
702,1443,2002-05-13
703,461,2002-05-03
704,2979,2002-04-30
705,2277,2002-04-12
706,1837,2002-03-04
707,2642,2002-03-04
708,447,2002-02-14
709,2476,2002-01-15
710,2895,2002-01-15
711,3264,2002-01-15
712,3142,2002-01-11
713,2417,2001-12-30
714,2418,2001-12-26
715,2689,2001-12-26
716,3377,2001-12-18
717,813,2001-12-03
718,2822,2001-11-15
719,2987,2001-10-30
720,3310,2001-09-28
721,228,2001-09-18
722,2308,2001-09-18
723,2357,2001-09-18
724,3232,2001-09-18
725,2858,2001-08-16
726,2630,2001-07-27
727,486,2001-07-25
728,1742,2001-06-15
729,2541,2001-06-15
730,2665,2001-06-15
731,1726,2001-05-18
732,3145,2001-05-18
733,2791,2001-05-10
734,1582,2001-04-20
735,1418,2001-04-16
736,513,2001-03-22
737,2372,2001-01-24
738,2517,2001-01-22
739,3134,2000-12-20
740,3274,2000-12-20
741,2301,2000-11-21
742,2329,2000-11-21
743,3152,2000-11-21
744,1007,2000-10-19
745,3109,2000-10-19
746,1070,2000-08-31
747,136,2000-08-31
748,2036,2000-08-31
749,2520,2000-08-31
750,2674,2000-08-31
751,2703,2000-08-31
752,2350,2000-08-30
753,133,2000-08-12
754,451,2000-08-12
755,559,2000-08-12
756,1886,2000-08-09
757,2556,2000-08-09
758,3067,2000-08-09
759,340,2000-08-09
760,109,2000-07-14
761,1871,2000-06-06
762,2739,2000-06-04
763,1599,2000-05-23
764,2485,2000-05-05
765,1584,2000-04-28
766,2434,2000-04-28
767,2444,2000-04-28
768,3081,2000-04-28
769,215,2000-03-25
770,2549,2000-03-25
771,2692,2000-03-25
772,274,2000-03-25
773,2777,2000-03-25
774,736,2000-03-23
775,3147,2000-02-23
776,1516,2000-02-16
777,2292,2000-02-16
778,3132,2000-02-16
779,1246,2000-01-14
780,2429,2000-01-14
781,3198,2000-01-14
782,745,2000-01-14
783,883,2000-01-14
784,1741,1999-12-31
785,1893,1999-12-31
786,1945,1999-12-31
787,2936,1999-12-31
788,2971,1999-12-31
789,3188,1999-12-31
790,1848,1999-12-21
791,2280,1999-12-21
792,2355,1999-12-21
793,2603,1999-12-21
794,298,1999-12-21
795,3320,1999-12-21
796,528,1999-12-21
797,679,1999-12-21
798,3004,1999-12-20
799,2636,1999-11-27
800,2869,1999-11-27
801,3080,1999-11-27
802,3111,1999-11-27
803,3170,1999-11-27
804,3213,1999-11-27
805,2819,1999-11-18
806,3019,1999-11-18
807,3193,1999-11-18
808,1833,1999-11-17
809,250,1999-11-17
810,2916,1999-11-17
811,207,1999-11-16
812,2198,1999-11-16
813,1220,1999-11-03
814,1373,1999-11-03
815,1686,1999-11-03
816,2077,1999-11-03
817,2538,1999-11-03
818,2566,1999-11-03
819,2658,1999-11-03
820,2678,1999-11-03
821,2725,1999-11-03
822,2781,1999-11-03
823,2882,1999-11-03
824,2952,1999-11-03
825,3113,1999-11-03
826,339,1999-11-03
827,1624,1999-11-02
828,1796,1999-10-20
829,2527,1999-10-20
830,2806,1999-10-20
831,440,1999-10-20
832,3164,1999-10-08
833,985,1999-09-21
834,2785,1999-09-04
835,510,1999-09-04
836,542,1999-09-04
837,723,1999-09-04
838,1638,1999-08-30
839,936,1999-08-16
840,1710,1999-08-09
841,1756,1999-08-09
842,1970,1999-08-09
843,2416,1999-08-09
844,2526,1999-08-09
845,3057,1999-08-09
846,38,1999-08-09
847,1057,1999-07-29
848,1322,1999-07-29
849,1678,1999-07-29
850,1790,1999-07-29
851,1924,1999-07-29
852,2569,1999-07-29
853,2633,1999-07-29
854,2808,1999-07-29
855,563,1999-07-29
856,1063,1999-06-30
857,1198,1999-06-30
858,151,1999-06-30
859,1575,1999-06-30
860,2909,1999-06-30
861,3155,1999-06-30
862,527,1999-06-30
863,1854,1999-06-04
864,203,1999-06-04
865,3168,1999-06-04
866,1061,1999-06-02
867,1930,1999-06-02
868,2405,1999-06-02
869,939,1999-06-02
870,3217,1999-05-26
871,1100,1999-05-18
872,1396,1999-05-18
873,1642,1999-05-18
874,1735,1999-05-18
875,2597,1999-05-18
876,3254,1999-05-18
877,358,1999-05-18
878,41,1999-05-18
879,526,1999-05-18
880,561,1999-05-18
881,872,1999-05-18
882,670,1999-05-13
883,2737,1999-05-08
884,1775,1999-04-20
885,1799,1999-04-20
886,2141,1999-04-20
887,2567,1999-04-20
888,2663,1999-04-10
889,3216,1999-04-10
890,171,1999-03-24
891,1821,1999-03-24
892,2177,1999-03-24
893,329,1999-03-24
894,130,1999-03-23
895,2196,1999-03-23
896,2675,1999-03-23
897,2710,1999-03-23
898,3045,1999-03-23
899,3114,1999-03-23
900,2892,1999-03-02
901,110,1999-02-27
902,1163,1999-02-27
903,1699,1999-02-27
904,2022,1999-02-27
905,1210,1999-02-25
906,2032,1999-02-25
907,3289,1999-02-25
908,1571,1999-02-16
909,1806,1999-02-16
910,2414,1999-02-16
911,2623,1999-02-16
912,724,1999-02-16
913,1449,1999-02-07
914,999,1999-02-07
915,2040,1999-01-22
916,2391,1999-01-22
917,3079,1999-01-22
918,2886,1999-01-13
919,2178,1999-01-10
920,2643,1999-01-10
921,2943,1999-01-10
922,306,1999-01-07
923,3043,1999-01-02
924,3094,1998-12-31
925,521,1998-12-31
926,2613,1998-12-29
927,2615,1998-12-29
928,3241,1998-12-29
929,644,1998-12-23
930,1062,1998-12-22
931,1977,1998-12-22
932,2395,1998-12-22
933,2719,1998-12-22
934,3003,1998-12-22
935,3112,1998-12-22
936,3240,1998-12-22
937,660,1998-12-22
938,1127,1998-12-09
939,1283,1998-12-09
940,1413,1998-12-09
941,2456,1998-12-09
942,2483,1998-12-09
943,2835,1998-12-09
944,2985,1998-12-09
945,3082,1998-12-09
946,483,1998-12-09
947,871,1998-12-09
948,877,1998-12-09
949,1104,1998-12-03
950,390,1998-12-03
951,454,1998-12-03
952,781,1998-12-03
953,2502,1998-11-28
954,2558,1998-11-28
955,1223,1998-11-13
956,2500,1998-11-13
957,1188,1998-11-06
958,2941,1998-11-06
959,669,1998-11-06
960,1461,1998-10-30
961,1556,1998-10-30
962,1958,1998-10-30
963,2573,1998-10-30
964,22,1998-10-29
965,2234,1998-10-24
966,2496,1998-10-15
967,393,1998-10-15
968,810,1998-10-15
969,993,1998-10-15
970,135,1998-09-29
971,2757,1998-09-29
972,763,1998-09-29
973,929,1998-09-29
974,1109,1998-09-25
975,1922,1998-09-25
976,362,1998-09-15
977,1094,1998-09-04
978,1867,1998-09-04
979,2406,1998-09-04
980,2718,1998-09-04
981,851,1998-09-04
982,303,1998-09-01
983,352,1998-09-01
984,1176,1998-08-27
985,1619,1998-08-27
986,1985,1998-08-27
987,2045,1998-08-27
988,2432,1998-08-27
989,476,1998-08-27
990,499,1998-08-27
991,1753,1998-08-25
992,2229,1998-08-25
993,2323,1998-08-25
994,1162,1998-08-15
995,2637,1998-08-15
996,703,1998-08-15
997,1075,1998-08-10
998,1090,1998-08-10
999,2186,1998-08-10
1000,2477,1998-08-10
1001,2951,1998-08-10
1002,1371,1998-07-31
1003,141,1998-07-31
1004,1451,1998-07-31
1005,1954,1998-07-31
1006,2028,1998-07-31
1007,2511,1998-07-31
1008,2662,1998-07-31
1009,923,1998-07-31
1010,974,1998-07-31
1011,2099,1998-07-27
1012,1769,1998-07-25
1013,1895,1998-07-25
1014,2698,1998-07-25
1015,1302,1998-07-16
1016,1974,1998-07-16
1017,2260,1998-07-16
1018,2354,1998-07-16
1019,2621,1998-07-16
1020,2635,1998-07-16
1021,2986,1998-07-16
1022,2115,1998-07-15
1023,2100,1998-07-08
1024,2486,1998-07-08
1025,541,1998-07-08
1026,614,1998-07-08
1027,1117,1998-07-05
1028,2352,1998-07-05
1029,540,1998-07-05
1030,374,1998-06-25
1031,2255,1998-06-22
1032,2386,1998-06-18
1033,2700,1998-06-18
1034,2978,1998-06-18
1035,1251,1998-06-11
1036,1953,1998-06-11
1037,1989,1998-06-11
1038,2596,1998-06-11
1039,3009,1998-06-11
1040,3130,1998-06-11
1041,3143,1998-06-11
1042,3260,1998-06-11
1043,758,1998-06-11
1044,1206,1998-06-03
1045,1257,1998-06-03
1046,176,1998-06-03
1047,1819,1998-06-03
1048,1889,1998-06-03
1049,2353,1998-06-03
1050,2389,1998-06-03
1051,2413,1998-06-03
1052,2459,1998-06-03
1053,830,1998-06-03
1054,1124,1998-06-02
1055,1353,1998-06-02
1056,1754,1998-06-02
1057,1891,1998-06-02
1058,3083,1998-06-02
1059,3263,1998-06-02
1060,956,1998-06-02
1061,958,1998-06-02
1062,1604,1998-05-28
1063,1748,1998-05-28
1064,1807,1998-05-28
1065,2828,1998-05-28
1066,3066,1998-05-28
1067,934,1998-05-28
1068,1714,1998-05-23
1069,2239,1998-05-23
1070,1215,1998-05-15
1071,1273,1998-05-15
1072,2504,1998-05-15
1073,57,1998-05-15
1074,607,1998-05-15
1075,628,1998-05-15
1076,1164,1998-05-12
1077,2012,1998-05-12
1078,2467,1998-05-12
1079,3149,1998-05-12
1080,3221,1998-05-12
1081,400,1998-05-12
1082,453,1998-05-12
1083,2805,1998-05-06
1084,2904,1998-05-06
1085,3018,1998-05-06
1086,1694,1998-04-30
1087,452,1998-04-30
1088,1123,1998-04-23
1089,1160,1998-04-23
1090,1196,1998-04-23
1091,2059,1998-04-23
1092,2825,1998-04-23
1093,900,1998-04-23
1094,1666,1998-04-16
1095,2831,1998-04-16
1096,2854,1998-04-16
1097,1011,1998-04-09
1098,1149,1998-04-09
1099,1261,1998-04-09
1100,2155,1998-04-09
1101,2322,1998-04-09
1102,2445,1998-04-09
1103,3159,1998-04-09
1104,506,1998-04-09
1105,2000,1998-03-26
1106,2338,1998-03-26
1107,2716,1998-03-26
1108,794,1998-03-26
1109,1097,1998-03-19
1110,1252,1998-03-19
1111,2516,1998-03-19
1112,3140,1998-03-19
1113,566,1998-03-19
1114,733,1998-03-19
1115,1180,1998-03-18
1116,1270,1998-02-27
1117,1664,1998-02-27
1118,1755,1998-02-27
1119,2147,1998-02-27
1120,2217,1998-02-27
