N1,N1_M?,N1_0,N1_0_M?,N1_1,N1_1_M?,N1_2,N1_2_M?,N2,N2_M?,N3,N3_M?,N4,N4_M?,N7,N7_M?,N9_1,N9_1_M?,N10_1,N10_1_M?,N12,N12_M?,return_on_net_assets,return_on_net_assets_M?,return_on_equity,return_on_equity_M?,mortaged_property_to_loans,mortaged_property_to_loans_M?,foreign_currency_operations_to_net_assets,foreign_currency_operations_to_net_assets_M?
6.451038934403419307e-03
2.998533522992546246e-03
2.468198041822581776e-02
4.400997524219229032e-03
1.583678558689587818e-02
2.150296170392162944e-03
1.740472806741675399e-02
3.507177197400008876e-03
4.719364381403814111e-03
2.104483290088141317e-03
5.012690694937096784e-03
3.118550672540591892e-05
1.040625131149688354e-01
1.227499741629321057e-03
1.129105387977359792e-01
7.819688583656275640e-04
4.345374472993415033e-02
1.205117602423181776e-03
8.973711626131890273e-02
1.524831698065146849e-03
2.099591068881055331e-02
2.325322771705232161e-03
2.267673850732598861e-01
1.290649776116584678e-03
2.810743901881833096e-01
2.162066116388268629e-03
5.186157058956952434e-03
5.936694062165102231e-03
4.728268121546339714e-03
5.330564043326388793e-03
