N1,N1_M?,N2,N2_M?,N3,N3_M?,N4,N4_M?,N7,N7_M?,N9_1,N9_1_M?,N10_1,N10_1_M?,N12,N12_M?,return_on_net_assets,return_on_net_assets_M?,return_on_equity,return_on_equity_M?,mortaged_property_to_loans,mortaged_property_to_loans_M?,foreign_currency_operations_to_net_assets,foreign_currency_operations_to_net_assets_M?
8.004019576073889350e-03
1.618793368653801161e-03
4.815694885761798681e-03
2.158609906444690208e-05
5.070907811582125654e-03
4.355779118835502797e-03
1.285779073984083254e-01
1.015543816773123355e-03
1.412487265776921075e-01
1.129941685696715312e-03
4.716429287036569967e-02
1.066317339426637190e-03
1.014038896064408946e-01
1.075225324231242081e-03
2.241261465390095159e-02
4.108018675612110267e-03
2.359328522539979045e-01
1.684714850823528952e-03
2.699814316297627359e-01
2.521563524204080853e-03
7.926773031543437806e-03
1.960551814581997822e-03
4.970867903146295071e-03
1.931986183420745292e-03
