N1,N1_M?,N2,N2_M?,N3,N3_M?,N4,N4_M?,N7,N7_M?,N9_1,N9_1_M?,N10_1,N10_1_M?,N12,N12_M?,return_on_net_assets,return_on_net_assets_M?,return_on_equity,return_on_equity_M?,mortaged_property_to_loans,mortaged_property_to_loans_M?,foreign_currency_operations_to_net_assets,foreign_currency_operations_to_net_assets_M?
7.601132134758295696e-03
6.183203647804129746e-03
4.592818922108737704e-03
2.078421328573005610e-03
5.929933441346011032e-03
1.520957549441352523e-03
1.281924933688534385e-01
9.382449414848025243e-04
1.377077668600543425e-01
1.448137859152037006e-03
4.846322072626229466e-02
6.884882010957189737e-04
1.034446408581458227e-01
2.710162427043109976e-03
2.100900447619427971e-02
1.948694302092661380e-03
2.355328973248899394e-01
1.241609579323617579e-03
2.739385828208864004e-01
2.201178899798459515e-03
5.334189641816551759e-03
4.993597794476903112e-04
5.103757469427435724e-03
1.691103439999847111e-03
