N1,N1_M?,N2,N2_M?,N3,N3_M?,N4,N4_M?,N7,N7_M?,N9_1,N9_1_M?,N10_1,N10_1_M?,N12,N12_M?,return_on_net_assets,return_on_net_assets_M?,return_on_equity,return_on_equity_M?,mortaged_property_to_loans,mortaged_property_to_loans_M?,foreign_currency_operations_to_net_assets,foreign_currency_operations_to_net_assets_M?
6.694935000401469605e-03
1.483221678571724697e-03
7.687251181910617626e-03
2.986159485280838466e-03
4.820852442316211905e-03
1.875001432674202836e-04
1.205672872016066155e-01
1.609042492638221647e-03
1.416701285802479393e-01
7.325553639779939803e-04
4.875921484646874443e-02
1.027474087416333512e-03
1.073843256713915284e-01
2.527047198263312165e-03
2.146247760256649387e-02
2.858440414507388769e-03
2.321499388954123833e-01
1.923906572323287904e-03
2.733780916000919659e-01
3.325586972745392216e-03
6.703063675523644391e-03
3.799947420272811911e-03
5.723715923809868759e-03
5.378355489877856407e-04
